code,scope,description
tenant_admin,tenant,Tenant role: tenant_admin
tenant_investigator,tenant,Tenant role: tenant_investigator
red_flag_analyst,tenant,Tenant role: red_flag_analyst
red_flag_approver,tenant,Tenant role: red_flag_approver
read_only_audit,tenant,Tenant role: read_only_audit
control_developer,tenant,Tenant role: control_developer
control_reviewer,tenant,Tenant role: control_reviewer
control_approver,tenant,Tenant role: control_approver
application_admin,platform,Platform role: application_admin
